Data Bencana,,,,,,,,,,,,,,,
No.,Kode Identitas Bencana,ID Kabupaten,Tanggal Kejadian,Kejadian,Lokasi,Kabupaten,Provinsi,Kronologi & Dokumentasi,Penyebab,Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak
11,1208 101 20240913 1,1208,13/09/2024,BANJIR,Kec. Dolok Batu Nanggar Kel. Serbelawan,SIMALUNGUN,SUMATERA UTARA,Dokumentasi,"● Dipicu curah hujan yang cukup tinggi yang mengakibatkan air Sungai Sikam meluap dan menyebabkan banjir bandang di Pasar bawah, Kel. Serbelawan",0,0,0,0,,0
12,1271 101 20240913 1,1271,13/09/2024,BANJIR,Kec. Medan Labuhan Kel. Sei Mati Kel. Tangkahan Kel. Martubung Kec. Medan Maimun Kel. Sukaraja Kec. Medan Marelan Kel.Terjun Kec. Medan Sunggal Kel. Tanjung,KOTA MEDAN,SUMATERA UTARA,Dokumentasi,"● Dipicu hujan dengan intensitas yang tinggi di beberapa wilayah Kota Medan serta Hujan di daerah pegunungan sehingga menyebabkan terjadinya banjir di beberapa wilayah pemukiman warga. ● Di kec. Medan Labuhan meluapnya air di parit Belanda yang dipengaruhi juga kondisi air pasang sehingga air keluar menjadi lambat ● Di kec. Medan Marelan dan kec. Medan Sunggal, terjadi luapan debit air sehingga tanggul jebol dan membanjiri pemukiman warga",0,0,0,0,2304,0
13,3175 101 20240912 1,3175,12/09/2024,BANJIR,Kec. Cipayung Kel. Lubang Buaya,KOTA ADM. JAKARTA TIMUR,DKI JAKARTA,Dokumentasi,● Dipicu curah hujan yang cukup tinggi,0,0,0,0,,0
14,6209 101 20240911 1,6209,11/09/2024,BANJIR,Kec. Lamandau Ds. Samu Jaya Ds. Sekoban Kec. Belantikan Raya Ds. Tangga Batu Ds. Sungai Buluh Ds. Nanga Belantikan Ds. Batu Selipi Ds. Bayat Ds. Belibi Kec. Menthobi Raya Ds. Lubuk Hijau Kec. Bulik Ds. Sungai Mentawa Ds. Bunut,LAMANDAU,KALIMANTAN TENGAH,Dokumentasi,● dipicu oleh Hujan dg Intensitas Tinggi,0,0,0,0,242,0
15,1271 101 20240910 1,1271,10/09/2024,BANJIR,Kec. Medan Labuhan Kel. Sei Mati,KOTA MEDAN,SUMATERA UTARA,Dokumentasi,● Dipicu hujan dengan intensitas tinggi di wilayah Kecamatan Medan Labuhan. mengakibatkan terjadinya banjir genangan di beberapa pemukiman masyarakat dengan ketinggian ± 10 s.d 30 cm,0,0,0,0,13,0
16,1275 101 20240908 1,1275,08/09/2024,BANJIR,Kec. Binjai Selatan Kel. Rambung Barat Kel. Binjai Estate Kec. Binjai Kota Kel. Setia Kel. Kartini,KOTA BINJAI,SUMATERA UTARA,Dokumentasi,"● Hujan deras dan disertai angin kencang yang terjadi pada Minggu sore (8/9) hingga malam mengakibatkan 3 sungai di Kota Binjai (Bingai, Mencirim dan Bangkatan) mengalami peningkatan drastis dan terjadi banjir genangan dibeberapa tempat dan terdapat pohon tumbang hingga menutup badan jalan.",0,0,0,0,461,0
17,1301 101 20240908 1,1301,08/09/2024,BANJIR,Kec. Sutera Ds. Nagari Amping Parak Timur,PESISIR SELATAN,SUMATERA BARAT,Dokumentasi,● Akibat curah hujan yang cukup tinggi yang mengakibatkan meluapnya air ke pemukiman warga dan mengakibatkan banjir dengan ketinggian ±60 cm di kampung bukit Kaciak.,0,0,0,0,120,0
18,3372 101 20240908 1,3372,08/09/2024,BANJIR,Kec. Pasar Kliwon Kel. Joyosuran,KOTA SURAKARTA,JAWA TENGAH,Dokumentasi,● Hujan deras yang mengguyur Kota Surakarta dan ada nya proyek pembangunan talud kali jenes dengan balok cor yang menghalangi laju air sehingga air sungai meluap ke pemukiman warga,0,0,0,0,171,0
19,3302 101 20240908 1,3302,08/09/2024,BANJIR,Kec. Ajibarang Ds. Pandansari Kec. Pekuncen Ds. Pasiraman Kidul Ds. Cikawung,BANYUMAS,JAWA TENGAH,Dokumentasi,● Dipicu curah hujan dengan intensitas tinggi selama ± 6 jam yang mengakibatkan meluapnya Sungai Dondong ke pemukiman warga,0,0,0,0,58,0
20,1209 101 20240908 1,1209,08/09/2024,BANJIR,Kec. Sei Dadap Ds. Perk.Sei Dadap III/IV,ASAHAN,SUMATERA UTARA,Dokumentasi,● dipicu curah hujan yang tinggi mengakibatkan tergenangnya wilayah pemukiman masyarakat,0,0,0,0,30,0
21,1207 101 20240907 1,1207,07/09/2024,BANJIR,Kec. Hamparan Perak Dusun IV dan Dusun VII Ds.Hamparan Perak,DELI SERDANG,SUMATERA UTARA,Dokumentasi,"● Pada hari Sabtu,07 sept 2024 pkl.04.00 WIB telah terjadi hujan deras selama (3) jam sehingga mengakibatkan banjir ke pemukiman warga, tepatnya di Perumahan PT.YUKI",0,0,0,0,23,0
22,7206 101 20240907 1,7206,07/09/2024,BANJIR,Kec. Bungku Barat Ds. Trans Wosu,MOROWALI,SULAWESI TENGAH,Dokumentasi,● Hujan dengan intensitas sedang hingga lebat dan angin kencang sejak pukul 00.00 Wita menyebabkan tergenangnya pemukiman di Desa Trans Wosu.,0,0,0,0,22,0
23,7324 101 20240907 1,7324,07/09/2024,BANJIR,Kec. Larompong Ds. Rante Belu Ds. Riwang,LUWU TIMUR,SULAWESI SELATAN,Dokumentasi,"● Dipicu hujan dengan intensitas lebat sejak malam hingga dini hari di wilayah Kec. Larompong dan sekitarnya menyebabkan tingginya debit air di beberapa sungai dan meluap ke pemukiman warga, fasdik, serta jalan Trans Sulawesi dengan ketinggian bervariasi 30 - 50 cm.",0,0,0,0,,0
24,1271 101 20240907 1,1271,07/09/2024,BANJIR,Kec. Medan Marelan Kel. Paya Pasir Kel. Labuhan Deli Kec. Medan Labuhan Kel. Martubung,KOTA MEDAN,SUMATERA UTARA,Dokumentasi,"● Dipicu hujan dengan intensitas tinggi serta naiknya air pasang laut mengakibatkan meluapnya debit air di jalur buangan Danau Siombak dan menggenangi beberapa rumah warga di Kel. Paya pasir pada hari Sabtu, 7 September 2024, pukul 11.20 WIB.",0,0,0,0,295,0
25,8105 101 20240907 1,8105,07/09/2024,BANJIR,Kec. Bula Kec. Bula Barat,SERAM BAGIAN TIMUR,MALUKU,Dokumentasi,● Dipicu hujan dengan intensitas sedang hingga lebat yang terjadi Pukul 22.00 - 10.00 WIT mengakibatkan banjir menggenangi puluhan rumah penduduk dengan ketinggian 75 - 80 cm.,0,0,0,22,46,0
